author	section	date	title	url	plethora	copious
Cameron Sheppard	news	December 13, 2021 1:00 pm	King County adopts amended districting plan	https://www.mi-reporter.com/news/king-county-adopts-amended-districting-plan/	0	0
Andy Nystrom	news	December 10, 2021 1:30 pm	Flying high: Prophater becomes first MIHS female Eagle...	https://www.mi-reporter.com/news/flying-high-prophater-becomes-first-mihs-female-eagle-scout/	0	0
	news	December 10, 2021 1:30 pm	Train arrives at Mercerdale Park	https://www.mi-reporter.com/news/train-arrives-at-mercerdale-park/	0	0
Olivia Sullivan	news	December 10, 2021 1:10 pm	King County gun violence rates exceed 2020 totals	https://www.mi-reporter.com/news/king-county-gun-violence-rates-exceed-2020-totals/	0	0
	news	December 10, 2021 10:30 am	Rotary’s holiday bell-ringers	https://www.mi-reporter.com/news/rotarys-holiday-bell-ringers/	0	0
Andy Nystrom	news	December 10, 2021 10:30 am	Eagle Scout Ritchie has become a leader with...	https://www.mi-reporter.com/news/eagle-scout-ritchie-has-become-a-leader-with-troop-624/	0	0
Reporter Staff	news	December 9, 2021 5:00 pm	Resident receives threatening note demanding money | Mercer...	https://www.mi-reporter.com/news/resident-receives-threatening-note-demanding-money-mercer-island-police-blotter/	0	0
Cameron Sheppard	news	December 9, 2021 3:00 pm	Surgeon General sounds alarm on mental health in...	https://www.mi-reporter.com/news/surgeon-general-sounds-alarm-on-mental-health-in-young-people-during-pandemic/	0	0
Andy Nystrom	news	December 9, 2021 2:30 pm	City council passes resolutions of appreciation for Judge...	https://www.mi-reporter.com/news/city-council-passes-resolutions-of-appreciation-for-judge-stewart-and-mayor-wong/	0	1
Henry Stewart-Wood	news	December 9, 2021 12:20 pm	King County unemployment is down after COVID-fueled recession	https://www.mi-reporter.com/news/king-county-unemployment-is-down-after-covid-fueled-recession/	0	0
Andy Nystrom	news	December 9, 2021 10:30 am	Riot Games purchases Mercer Island office building	https://www.mi-reporter.com/news/riot-games-purchases-mercer-island-office-building/	0	0
Cameron Sheppard	news	December 8, 2021 5:05 pm	Survey data suggests how the pandemic has changed...	https://www.mi-reporter.com/news/survey-data-suggests-how-the-pandemic-has-changed-attitudes-toward-housing-in-king-county/	0	0
	news	December 8, 2021 1:30 pm	MIPA Holiday Lights route on tap for Dec....	https://www.mi-reporter.com/news/mipa-holiday-lights-route-on-tap-for-dec-15-31/	0	0
	news	December 8, 2021 1:15 pm	King County weather: Dec. 9-13	https://www.mi-reporter.com/news/king-county-weather-dec-9-13/	0	0
	news	December 8, 2021 12:30 pm	City conducts Island Crest Way corridor safety analysis...	https://www.mi-reporter.com/news/city-conducts-island-crest-way-corridor-safety-analysis-survey/	0	0
	news	December 8, 2021 11:30 am	Seattle Public Utilities plans water supply shutoff for...	https://www.mi-reporter.com/news/seattle-public-utilities-plans-water-supply-shutoff-for-overnight-dec-10/	0	0
Andy Nystrom	news	December 8, 2021 9:30 am	Action Sports Design consultant assesses Bike Skills Area	https://www.mi-reporter.com/news/action-sports-design-consultant-assesses-bike-skills-area/	0	0
	news	December 8, 2021 9:30 am	Let there be lights	https://www.mi-reporter.com/news/let-there-be-lights/	0	0
Cameron Sheppard	news	December 7, 2021 4:30 pm	King County Council approves plan for future of...	https://www.mi-reporter.com/news/king-county-council-approves-plan-for-future-of-housing-first-approach-to-homelessness/	0	0
Cameron Sheppard	news	December 7, 2021 3:30 pm	King County Council approves unique public-private partnership for...	https://www.mi-reporter.com/news/king-county-council-approves-unique-public-private-partnership-for-eastrail-project/	0	0
